PARK_ID,the_geom,PARKNAME,OBJECTID,ACRES,STATUS,LABEL,AVIAN,HERPETILE,INVERTEBRA,FISH,INSECT,MAMMAL,FOREST,GRASS_SHRU,FWW,SALT_MARSH,AQUATIC,FS_RTE,L_RTE,SP_REG_DES,FW_SubType,Shape_STAr,Shape_STLe
X142,"MULTIPOLYGON (((-73.9188276027932 40.885630761978845, -73.91902868060481 40.885705867539485, -73.92174392097674 40.88655344730493, -73.91594072623298 40.901530021249016, -73.91482717572495 40.90123406614307, -73.91384288927496 40.903780055138796, -73.91303752352314 40.90362034575951, -73.91256941116559 40.90352289908846, -73.91268034376378 40.903239251879775, -73.91480503728094 40.89751620824456, -73.91501185764655 40.89754483662585, -73.91503074016707 40.89745221763977, -73.91532182182884 40.89753082633455, -73.9153503351379 40.89733117172129, -73.91510600566976 40.897288278098564, -73.91512489718627 40.89718845422339, -73.91506884201326 40.89700306117018, -73.91515371115017 40.89675361478683, -73.9156250872534 40.895492006793596, -73.91598334325602 40.89446567078662, -73.91624711770717 40.89395972579949, -73.91691404502419 40.89410275980584, -73.91709222984167 40.89424543976937, -73.91731742251801 40.89458070992544, -73.9177979839632 40.893340542124974, -73.91657700269836 40.893189995086104, -73.91705753237244 40.89197830598547, -73.91728369339401 40.891529283310575, -73.91769763238646 40.89095216618646, -73.91807444179018 40.890232383179246, -73.91834773196886 40.88949820193955, -73.91876087777563 40.88825746643615, -73.91878379630352 40.88800016819696, -73.91877636801735 40.88760484236917, -73.91920766745034 40.88759150726057, -73.91917747693448 40.88732422230866, -73.91876945619265 40.887341690682305, -73.91873453099592 40.88669640719186, -73.91869559340968 40.88619032802995, -73.91869588712383 40.88595016808222, -73.91873000714345 40.88577436071661, -73.9188276027932 40.885630761978845)))",Riverdale Park,1,95.42505048,UNPROTECTED,RIVERDALE PARK / RAOUL WALLENBERG FOREST PRESERVE,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,100,"4,156,715.19902","16,390.0111325"
X092,"MULTIPOLYGON (((-73.89429925208115 40.888729385707826, -73.89477754920978 40.88873599830022, -73.89534345900343 40.88880135599212, -73.89571649894225 40.88890204621516, -73.89592803896475 40.88935888444435, -73.89552656626931 40.88951291051928, -73.895253622142 40.89058480611136, -73.89413481454488 40.89049801412934, -73.89419815195849 40.88976043776097, -73.8942609697986 40.88934879220059, -73.89413665171926 40.889344389774905, -73.89400012345367 40.88948424345301, -73.89374603169249 40.88977717676891, -73.8935535486012 40.88999142802784, -73.89334985156795 40.890149917012195, -73.89311798700199 40.89025262837046, -73.89279005806755 40.890350961402696, -73.89269393904627 40.890380892218786, -73.89253556623278 40.890466516197506, -73.89208834040625 40.89066774776335, -73.89162660933704 40.891029099066124, -73.89125859778026 40.89144388664018, -73.89102365656193 40.89176384978424, -73.89075711830665 40.8923269445511, -73.89076438682774 40.89271841215394, -73.89092792002766 40.89307434663169, -73.89091819645748 40.894316049905136, -73.89056317666561 40.894652623904214, -73.88991108482645 40.89595632902432, -73.88986303840998 40.896165222309726, -73.88977044013393 40.896519969890875, -73.8896105448903 40.897375300550216, -73.88912721292334 40.89777496070711, -73.88908315925735 40.89802742906367, -73.8884378102083 40.899452498115956, -73.88827466335081 40.89967217217848, -73.8878685196083 40.9002693470062, -73.88771842238648 40.900256507001494, -73.88772734390697 40.899927067999506, -73.88766296164933 40.89962937901927, -73.88752456513807 40.89924944886049, -73.88748655103433 40.89900170431345, -73.8875706608597 40.89872929077981, -73.887704764791 40.898437970465466, -73.88783849340462 40.89836836841768, -73.88798937826364 40.89804541418194, -73.88872476970177 40.896308226517085, -73.8890057688269 40.89441560872494, -73.8888682243498 40.89393361268194, -73.88830022446433 40.891861341778885, -73.88840276987992 40.89083355618046, -73.88864250833394 40.89008431672535, -73.88899679647288 40.88977099191091, -73.88951511476661 40.88950336756892, -73.89030814225033 40.88946809986315, -73.89103465250015 40.88946878797913, -73.89196993260974 40.889389727993496, -73.89256069303451 40.88918597184844, -73.89279697908225 40.889143134289284, -73.89301414408868 40.889182790680586, -73.89319817458934 40.889304842320854, -73.89383480190322 40.88882776831298, -73.89429925208115 40.888729385707826)))",Van Cortlandt Park,2,56.61652084,UNPROTECTED,VAN CORTLANDT PARK PRESERVE,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,100,"2,466,215.64752","12,060.3107114"
X039,"MULTIPOLYGON (((-73.7955241153828 40.8832882616376, -73.7934009334247 40.882819769548156, -73.78949810088588 40.881560492535726, -73.7893503766759 40.88153127509046, -73.78954144702377 40.8809335799204, -73.78962463705031 40.88071432734044, -73.7896665929687 40.88052630642971, -73.78958459351352 40.880369408872085, -73.78954372931427 40.88021258646922, -73.78950276579046 40.8800871133659, -73.7895857840963 40.87999321605067, -73.7898748545328 40.87999374270991, -73.79008130340807 40.879962768697105, -73.79028866980755 40.879712391897776, -73.79033062321581 40.8795243707112, -73.79033151297772 40.87924222579809, -73.79004333664962 40.878959598577914, -73.78963088603203 40.87873940035283, -73.78934201970664 40.87867617422901, -73.78868127104046 40.87864361655921, -73.78826835398803 40.87864285975555, -73.7875662466365 40.87861022001576, -73.78686396418387 40.87870297392176, -73.78645071989914 40.878733559721745, -73.7860379034633 40.878701445414215, -73.7855430758422 40.87844973027818, -73.78492500889594 40.878009728528895, -73.78455404147077 40.87775823966312, -73.78455495572145 40.87747609490426, -73.78459702535724 40.87725676901543, -73.78476263989367 40.87713167952733, -73.7849688012506 40.877257462322255, -73.785092245975 40.87738304792105, -73.7852984862436 40.87741478130968, -73.78546399869948 40.87732104034992, -73.78546460548456 40.877132986579845, -73.78534116065866 40.877007358753026, -73.78525947949963 40.87675640981952, -73.7851776745864 40.876474111060986, -73.78530263641132 40.876129540647035, -73.785675517324 40.87578538794907, -73.78600653259387 40.87559790465363, -73.7864206389785 40.875222519255054, -73.78671172455694 40.87465880725429, -73.78716757922014 40.87415805491934, -73.78741626978587 40.8738450169402, -73.78741767283701 40.87340616760492, -73.78737832157118 40.8727791454953, -73.78754452045621 40.87246595515285, -73.7877935291373 40.87212156731877, -73.78824845962829 40.871902998589114, -73.78862050459934 40.87180963163857, -73.78868461049956 40.871192963252895, -73.79210686017551 40.87174959602122, -73.79236535622046 40.871470688868456, -73.7925994600933 40.87114517529364, -73.79318799035853 40.87124866809993, -73.79396019193904 40.871464235090095, -73.7948306269101 40.871652034117005, -73.7955666362522 40.87167196526524, -73.79606901559428 40.87186841487024, -73.79717263637536 40.87202867097805, -73.7975702450456 40.87188185896638, -73.79815704553415 40.87138926948586, -73.79884941105232 40.87021115758754, -73.79961200488692 40.86859178070973, -73.79988563507304 40.86845013154668, -73.80016819812857 40.86834349194679, -73.80048981089314 40.86810049894411, -73.8006132492695 40.867704746097154, -73.8005119502441 40.86697263612501, -73.80113569071716 40.86566671926216, -73.80152451641645 40.865384212475135, -73.80216668666635 40.86523920283265, -73.80295325768252 40.86524234983797, -73.80374472029612 40.86534906958553, -73.80446279596295 40.86551587147866, -73.80509099618553 40.865741013788046, -73.80552676382077 40.865936579959616, -73.80585966266224 40.866151484807, -73.80636821209227 40.866574594663085, -73.8084087014445 40.86783138614913, -73.80930559759173 40.868300500443816, -73.80963871862902 40.86852508677013, -73.80981786640548 40.868700743025556, -73.8099325875128 40.868963994426935, -73.80993211410836 40.86912961912274, -73.81004299456856 40.86947203181386, -73.810302768194 40.86966600347465, -73.81069630826917 40.86986521151759, -73.81078954097585 40.86997858342964, -73.8108275694449 40.870115023108866, -73.81076289225928 40.870290277663, -73.80901154145157 40.8728072843569, -73.80882048637537 40.87299716717615, -73.80861970567508 40.87311095375757, -73.8083187885017 40.87323216461412, -73.80802785824386 40.873338166857714, -73.80763656483079 40.873451634644596, -73.80716746043906 40.8735107634149, -73.80683428580501 40.8736100446028, -73.8063729091979 40.8737309816844, -73.8061524120356 40.873783875742724, -73.80579103653378 40.87394301822528, -73.80510961265352 40.87419266641582, -73.802428570463 40.87543368619551, -73.80029661282485 40.87599816916473, -73.79825055355441 40.87669386538632, -73.79738570990237 40.87704195620671, -73.79695268406523 40.87741267276728, -73.79634584739325 40.87815455907554, -73.79677687773088 40.87843939496017, -73.79778112322215 40.879599292545905, -73.79815334153422 40.88027736960532, -73.79835273168719 40.88093327187028, -73.79863842590045 40.88167672551952, -73.79880806242494 40.88268218028015, -73.79955572483178 40.88298942884733, -73.79955809654396 40.882202777618105, -73.79993310974375 40.88196305293334, -73.80042279924375 40.88192020004687, -73.8007673058158 40.88220487130965, -73.80070871767067 40.8825980764249, -73.80036109615233 40.88327490072067, -73.79949403139402 40.88440965835226, -73.7955241153828 40.8832882616376), (-73.80652117055813 40.87156807448164, -73.80438023946306 40.871076082525285, -73.8036057196386 40.872811797027026, -73.8057400680081 40.87330379203274, -73.80652117055813 40.87156807448164)))",Pelham Bay Park,3,479.11300826,UNPROTECTED,PELHAM BAY PARK PRESERVE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,100,"20,870,162.64","29,068.9689731"
X039,"MULTIPOLYGON (((-73.7893503766759 40.88153127509046, -73.78693892304071 40.88105420321927, -73.78594721134155 40.88117776658482, -73.7825479724194 40.880533098361425, -73.78190402161759 40.87985359971985, -73.78165845413349 40.8791320946689, -73.78174395204341 40.878285859913774, -73.78162905766455 40.8755583547648, -73.78171617806916 40.87414787227529, -73.78193003490236 40.87192258102996, -73.78267770644328 40.870575999603616, -73.78416779165607 40.86954430072412, -73.78477103568191 40.86972061651054, -73.78445330740261 40.87006967299593, -73.78695585721863 40.87062060181473, -73.78796392439965 40.870491356098725, -73.78868330746576 40.87053637651113, -73.78868461049956 40.871192963252895, -73.78862050459934 40.87180963163857, -73.78824845962829 40.871902998589114, -73.7877935291373 40.87212156731877, -73.78754452045621 40.87246595515285, -73.78737832157118 40.8727791454953, -73.78741767283701 40.87340616760492, -73.78741626978587 40.8738450169402, -73.78716757922014 40.87415805491934, -73.78671172455694 40.87465880725429, -73.7864206389785 40.875222519255054, -73.78600653259387 40.87559790465363, -73.785675517324 40.87578538794907, -73.78530263641132 40.876129540647035, -73.7851776745864 40.876474111060986, -73.78525947949963 40.87675640981952, -73.78534116065866 40.877007358753026, -73.78546460548456 40.877132986579845, -73.78546399869948 40.87732104034992, -73.7852984862436 40.87741478130968, -73.785092245975 40.87738304792105, -73.7849688012506 40.877257462322255, -73.78476263989367 40.87713167952733, -73.78459702535724 40.87725676901543, -73.78455495572145 40.87747609490426, -73.78455404147077 40.87775823966312, -73.78492500889594 40.878009728528895, -73.7855430758422 40.87844973027818, -73.7860379034633 40.878701445414215, -73.78645071989914 40.878733559721745, -73.78686396418387 40.87870297392176, -73.7875662466365 40.87861022001576, -73.78826835398803 40.87864285975555, -73.78868127104046 40.87864361655921, -73.78934201970664 40.87867617422901, -73.78963088603203 40.87873940035283, -73.79004333664962 40.878959598577914, -73.79033151297772 40.87924222579809, -73.79033062321581 40.8795243707112, -73.79028866980755 40.879712391897776, -73.79008130340807 40.879962768697105, -73.7898748545328 40.87999374270991, -73.7895857840963 40.87999321605067, -73.78950276579046 40.8800871133659, -73.78954372931427 40.88021258646922, -73.78958459351352 40.880369408872085, -73.7896665929687 40.88052630642971, -73.78962463705031 40.88071432734044, -73.78954144702377 40.8809335799204, -73.7893503766759 40.88153127509046)))",Pelham Bay Park,4,137.85934707,PROTECTED,HUNTER ISL MARINE SANCTUARY,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,100,"6,005,153.15849","13,936.7541605"
M042,"MULTIPOLYGON (((-73.93124335801987 40.869016802060656, -73.9313156301161 40.869055871125184, -73.93109416757507 40.86949746360163, -73.9308912179344 40.86995309034228, -73.93043327949535 40.871132647998415, -73.93027057780613 40.871557548599775, -73.93007869262578 40.8720103500564, -73.92996429253964 40.872273085048, -73.9297206250709 40.87275102827001, -73.92901211540222 40.8740534665156, -73.92882370895617 40.874408445038455, -73.9285380032515 40.87487413730772, -73.92824071724267 40.8753866099883, -73.92801208728201 40.87573036884373, -73.92783508610087 40.87597908189191, -73.9276805169608 40.87617312933205, -73.92731482811276 40.87660501687657, -73.92702362591504 40.87691241022078, -73.92651482008941 40.87738739077928, -73.92642265982035 40.87734255930005, -73.92641550206449 40.87727548133763, -73.9263934308695 40.87720556348742, -73.9263491931382 40.8771523996381, -73.92623149790096 40.877104806971055, -73.92590499057947 40.87704361416277, -73.92583742876505 40.877031863075324, -73.92576373907468 40.87704300873812, -73.9255706786034 40.87709091653614, -73.92527360351842 40.877185287724735, -73.92515575480193 40.8772746712387, -73.92506341280348 40.87739203258561, -73.92499352706896 40.87743671712544, -73.92491983678826 40.87744786244863, -73.92484614994595 40.877456177151345, -73.92475033021469 40.87745053960386, -73.92460663543241 40.877411291190924, -73.9244631542927 40.87738323577862, -73.92432304434038 40.87737199356905, -73.92424576979832 40.87735513170069, -73.92411313407541 40.87732991354697, -73.92399159812626 40.87728227304992, -73.92385176535618 40.87722630070927, -73.92378171716311 40.877215061228135, -73.92370803337114 40.877220587851596, -73.92363433991308 40.87723451970712, -73.92349078233359 40.877273579456386, -73.92339922537157 40.87729551921579, -73.92327718903923 40.87729020600748, -73.92318499229317 40.87727895143773, -73.92306342792263 40.87725652700039, -73.9239009478994 40.876709516324, -73.92420989692006 40.87650798475515, -73.92436840963633 40.876432609648546, -73.92457844726343 40.87636005556353, -73.92472949194764 40.87629303794478, -73.92481425825802 40.8762791124027, -73.92501317978596 40.87624291756534, -73.92535956955972 40.87610333433919, -73.9257134942653 40.87589385112885, -73.9259604382337 40.87575703241235, -73.92637316806815 40.8755028549265, -73.92668280309867 40.87528219003635, -73.92702930400213 40.87503358622335, -73.92727267809643 40.87484920208819, -73.92754546375711 40.874634086744805, -73.92800625494888 40.87422897549149, -73.92851144607828 40.873720448946926, -73.9287770873543 40.87341586648811, -73.92907580403472 40.87303303703806, -73.9292822189291 40.87273956719445, -73.92963649767432 40.8721666575193, -73.9300239467828 40.87142025031133, -73.93039305023585 40.87070488016925, -73.93070306625359 40.87008437973831, -73.9308803773808 40.86972939103786, -73.93107577952372 40.86936047505717, -73.93124335801987 40.869016802060656)))",Inwood Hill Park,5,19.50337536,PROTECTED,SHORAKAPOK PRESERVE,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,100,"849,567.030869","8,340.7467658"
Q001,"MULTIPOLYGON (((-73.74391796642753 40.752373200018795, -73.74359558722627 40.75209472051226, -73.74336132556274 40.75190835576307, -73.7434368038668 40.75168668367434, -73.74408890083463 40.75168813428366, -73.74461138473355 40.7516769854187, -73.74522543714701 40.75167015385609, -73.745478519005 40.7516748304541, -73.74565131103007 40.75167521213196, -73.74578561416102 40.75171239143635, -73.74602771262076 40.751757956666644, -73.74623234960215 40.751807598785156, -73.74646377555838 40.75193097930555, -73.74660329113473 40.752021434506176, -73.74582590835507 40.75250314222382, -73.74548078657895 40.752498305884906, -73.74547053784218 40.752346678281604, -73.74542811639472 40.75223186219574, -73.74534779726595 40.752117005137606, -73.74522950336682 40.752022521274874, -73.74510080181126 40.751936205438255, -73.74492325024387 40.75188254701257, -73.7447668090743 40.75185350903233, -73.74459445206716 40.75185724429457, -73.74442739868635 40.75188963928772, -73.74428195345023 40.751934390493076, -73.74416303220953 40.752003731748836, -73.74404404718108 40.75208954134473, -73.74395738817742 40.752216336757, -73.74391940650698 40.752355548811, -73.74391796642753 40.752373200018795)))",Alley Pond Park,23,3.07588907,UNPROTECTED,ALLEY PARK PRESERVE,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,100,"133,985.72789","2,272.03663333"
X002,"MULTIPOLYGON (((-73.87340903898497 40.86675026069541, -73.87369119146868 40.86679367035399, -73.87419937679131 40.866922883172656, -73.87475654022361 40.86708358247667, -73.87490688537098 40.8671638134781, -73.87501603981788 40.86727826561264, -73.87507600266319 40.86735552525411, -73.8751174308107 40.86743563800869, -73.875237529912 40.867618762107845, -73.87515827891177 40.86770444828566, -73.87509429137087 40.86772436380021, -73.8750038008122 40.86777860235066, -73.87499928180495 40.86813888200812, -73.87481392477967 40.8685303151039, -73.87452741512514 40.86875588400779, -73.8743200880938 40.868812825294015, -73.87423333938548 40.868918530232406, -73.87409381492054 40.868969841204795, -73.87378118729072 40.86902383599726, -73.87362608202126 40.86930671321313, -73.87409987557122 40.86970748528684, -73.87443612226109 40.869951958192395, -73.87429497193223 40.87014513406279, -73.87417022307305 40.870388032494105, -73.87461454904505 40.87048286517874, -73.87484019084317 40.87066323081608, -73.87488447269388 40.871149304540936, -73.87452959640085 40.87155204646344, -73.87429190189518 40.871769090557834, -73.87403843733642 40.87184004770875, -73.87321083980527 40.87185938345505, -73.87277772385629 40.87180744367245, -73.87255931666544 40.87174428919425, -73.87253663592035 40.87178715006091, -73.87244612654152 40.87184709033541, -73.87234046056925 40.87203284073736, -73.87228744258934 40.87210422991734, -73.87225341821221 40.87216997933921, -73.87220907470967 40.87231351205939, -73.87218132489454 40.8725243941706, -73.87237287686584 40.872804822403694, -73.87246650969556 40.87300220089593, -73.8725152589258 40.87315377062317, -73.87254502521435 40.87330531936113, -73.87260121606559 40.873465517263554, -73.87264614053782 40.873608505319076, -73.8726568925424 40.873894437332176, -73.87266055370368 40.87398879015131, -73.87262575665919 40.8741036431375, -73.87260363919229 40.87420598720689, -73.87254664752966 40.874463239457754, -73.87245654681745 40.87466170145673, -73.87223305336975 40.875006127751725, -73.87222907959932 40.87507474077845, -73.8721950702136 40.875131869966985, -73.87211056333851 40.875240963734804, -73.87198740746751 40.87535181585107, -73.87188555979662 40.875428897430986, -73.87166657972764 40.87553964258407, -73.87156136822625 40.87560291080944, -73.87139912271381 40.875708529653956, -73.87134251812842 40.875762802826145, -73.87124826447811 40.87588560856939, -73.87117285342019 40.87608134117233, -73.87114609931348 40.87612565529751, -73.87108947753666 40.87618850569966, -73.87098392976961 40.87619126095114, -73.87109375291767 40.87584829699764, -73.87132880278894 40.87514235793595, -73.87147084116224 40.874616735665995, -73.87156797695567 40.8741705305354, -73.87173876814721 40.873498870447165, -73.87199029305481 40.872444286062944, -73.87209566746152 40.8719410512414, -73.87215279607831 40.871612351399015, -73.87225550548223 40.87108351071585, -73.87228987515823 40.870837683806386, -73.87238157377624 40.87015731481258, -73.872420162619 40.86971421760424, -73.87245530420238 40.869065264041595, -73.8724598202588 40.8687136047343, -73.87248361302258 40.868090327249334, -73.87249970585731 40.86747566119328, -73.87249995253734 40.86734700361513, -73.87252275239604 40.867241229319205, -73.87257943662688 40.86714123904673, -73.8726587668997 40.86701554236696, -73.87274565945124 40.86695272448852, -73.87281354284632 40.86690420959165, -73.87289635138075 40.86684996428802, -73.87302072670417 40.866801511482045, -73.87314891630442 40.866767343913025, -73.87328452467372 40.8667531689136, -73.87340903898497 40.86675026069541)))",Bronx Park,6,31.33255319,UNPROTECTED,BRONX PARK PRESERVE,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,100,"1,364,846.01672","8,601.43916233"
M042,"MULTIPOLYGON (((-73.93087709352605 40.86875819567768, -73.93107720096314 40.868861112888425, -73.93083537674192 40.869324607402355, -73.93053557520628 40.869906345527426, -73.9303054585598 40.87040415461167, -73.93030539333881 40.870466381890985, -73.93030940543082 40.87051930549807, -73.93034208157313 40.870606469284276, -73.93024763832652 40.870805574262654, -73.92996414808181 40.87133757298328, -73.92966838760414 40.871928660459695, -73.92917553428579 40.87275618448927, -73.92894968174299 40.87305170057758, -73.92862131602777 40.87347473834368, -73.92834617893722 40.87378265957341, -73.92805071646441 40.87407500008622, -73.92781679942782 40.87429580191624, -73.92759104715907 40.874488646583586, -73.92714383987018 40.874868033422196, -73.92631492667334 40.87544320636221, -73.92560643157682 40.87583918841435, -73.92542893970564 40.8759125802062, -73.92532630796279 40.87593738753872, -73.925233426715 40.87593325322062, -73.92603246967792 40.875203422730394, -73.92663980075515 40.874724561272245, -73.92696803802076 40.87443533284879, -73.92730034727428 40.87413988781799, -73.92771077314357 40.873704468434916, -73.92814190336034 40.87313521390601, -73.92851562516763 40.87256596478558, -73.92897152332473 40.871856657181574, -73.92934522423639 40.871293623667846, -73.93003358341379 40.8702083019394, -73.93051151250009 40.86936172341563, -73.93087709352605 40.86875819567768)))",Inwood Hill Park,7,9.57625788,PROTECTED,SHORAKAPOK PRESERVE,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,100,"417,141.793457","6,280.19455173"
X039,"MULTIPOLYGON (((-73.80339812669116 40.86136252527887, -73.80373073402816 40.86143642655977, -73.8057595769384 40.86235474745312, -73.80636717123008 40.86250861453424, -73.8061985413447 40.86307464111712, -73.80648779371369 40.863142714959395, -73.80572410125333 40.865448955777744, -73.80808302779882 40.86596847869783, -73.809282364641 40.86316426508925, -73.81099554741662 40.86364890825279, -73.81305318360103 40.864431884906416, -73.81321975798544 40.86449772741802, -73.81356216481787 40.86472188940096, -73.8137467462215 40.86506555520318, -73.81230894851282 40.867541741718, -73.81165960464294 40.86886111239134, -73.81147287557253 40.868657250019545, -73.8111486566597 40.868534601271634, -73.81063125557627 40.868505834459405, -73.81024691501912 40.86849083624631, -73.80989079581532 40.8684057647197, -73.80942681006105 40.86819014075669, -73.80755673263447 40.86699034691813, -73.80605632502564 40.86604961823434, -73.80572294070939 40.86584620656725, -73.80518927673509 40.86559172209003, -73.80438835223563 40.86531988506985, -73.80354274603242 40.865183228928416, -73.80277472445545 40.86509730463695, -73.8022625429939 40.86507116825677, -73.80202914987373 40.86498623959766, -73.8019515707593 40.86485929267055, -73.80184070044587 40.86468164007657, -73.8017594068206 40.864360755902155, -73.80203357837034 40.86349861760852, -73.8021240891745 40.86300009434145, -73.80218067971687 40.86266207802615, -73.8022140302019 40.86200889532134, -73.80237274183801 40.861749578223474, -73.80255962230075 40.86159126267612, -73.80278545250134 40.861479802180845, -73.8031086103553 40.86138737723668, -73.80339812669116 40.86136252527887)))",Pelham Bay Park,8,86.72708189,UNPROTECTED,PELHAM BAY PARK PRESERVE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,100,"3,777,831.68707","11,450.330958"
X039,"MULTIPOLYGON (((-73.79413914212398 40.85660982678713, -73.79640289765503 40.857383605810774, -73.79751265161481 40.85784521153965, -73.79900492776962 40.858534426751646, -73.80065737369432 40.85946822105067, -73.80110082939856 40.85979483451241, -73.80118722185657 40.85999436058006, -73.80124558962368 40.86012093208178, -73.80125217632639 40.86048749030896, -73.8013282853987 40.8606505454232, -73.80149441756258 40.860857499286105, -73.80164151896953 40.860930358138916, -73.80181020675592 40.86103850639863, -73.80193217693122 40.86112869083622, -73.80203407468964 40.861282440538645, -73.80201509552352 40.862268829315155, -73.80183151821063 40.86328911571221, -73.80148380578622 40.8644125601119, -73.80117182646624 40.865143958350075, -73.80094659339707 40.86557929169538, -73.80065284736361 40.865953393864174, -73.80046353654163 40.86616299357324, -73.80002988391519 40.86632053506081, -73.79962883601789 40.866380737393584, -73.79922774536635 40.86638004020301, -73.79855170937137 40.86621117772225, -73.79743360738892 40.86554881881991, -73.79690477221807 40.865426092874635, -73.7964081351765 40.86519384776564, -73.79583180861786 40.86479098748767, -73.79544864477171 40.86425449114068, -73.79525796453278 40.86365743688053, -73.7948431766057 40.862901691856806, -73.7945724052643 40.86226799794323, -73.79465502483043 40.86148877719861, -73.79443625047573 40.86135994392983, -73.79412641558918 40.86130514064753, -73.79377295386132 40.861475024189275, -73.79325967141915 40.86144974644824, -73.7916169950554 40.86109306734474, -73.79177838052561 40.86093043464323, -73.792054699575 40.860791295958386, -73.79229238863984 40.86072190558683, -73.792430351744 40.86075123055994, -73.79256805271751 40.860792220029104, -73.79339690050787 40.86047952398892, -73.79351198851086 40.860380791990735, -73.79359700682329 40.860142411875955, -73.79350533609092 40.86004914228153, -73.79326052932299 40.85993814373479, -73.79329160150921 40.85982763905911, -73.79346035459734 40.85976395541898, -73.79371329433361 40.85972949857772, -73.7938977718129 40.85954944959168, -73.7940984949798 40.8590843227222, -73.79432915152867 40.858875278736605, -73.79456843066514 40.858288037437674, -73.79462421640001 40.857636483020734, -73.79445634085461 40.85734524492997, -73.7941363731894 40.85677446146792, -73.79413914212398 40.85660982678713)))",Pelham Bay Park,9,125.93531203,UNPROTECTED,PELHAM BAY PARK PRESERVE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,100,"5,485,742.19205","10,612.5582203"
